Code;Definition;Description;Funktionsklasse
31001_2213;Schöpfwerk;'Schöpfwerk' ist ein Gebäude, in dem Pumpen Wasser einem höher gelegenen Vorfluter zuführen u. a. zur künstlichen Entwässerung von landwirtschaftlich genutzten Flächen.;NoHeatingAndCooling
31001_2220;Wetterstation;'Wetterstation' ist ein Gebäude, in dem meteorologische Daten erfasst und ausgewertet werden.;Office
31001_2310;Gebäude für Handel und Dienstleistung mit Wohnen;          ;Other
31001_2320;Gebäude für Gewerbe und Industrie mit Wohnen;          ;Other
31001_2400;Betriebsgebäude zu Verkehrsanlagen (allgemein);          ;Other
31001_2410;Betriebsgebäude für Straßenverkehr;          ;Other
31001_2411;Straßenmeisterei;'Straßenmeisterei' ist das Verwaltungsgebäude einer Dienststelle, die für den ordnungsgemäßen Zustand von Straßen verantwortlich ist. ;Office
31001_2412;Wartehalle;          ;Other
31001_2420;Betriebsgebäude für Schienenverkehr;          ;Other
31001_2421;Bahnwärterhaus;          ;Other
31001_2422;Lokschuppen, Wagenhalle;          ;NoHeatingAndCooling
31001_2423;Stellwerk, Blockstelle;'Stellwerk, Blockstelle' ist ein Gebäude, von dem aus die Signale und Weichen im Bahnhof und auf der freien Strecke für die Züge gestellt werden.;Other
31001_2424;Betriebsgebäude des Güterbahnhofs;          ;Other
31001_2430;Betriebsgebäude für Flugverkehr;          ;Other
31001_2431;Flugzeughalle;'Flugzeughalle' ist ein Gebäude, in dem Flugzeuge abgestellt, inspiziert und repariert werden.;NoHeatingAndCooling
31001_2440;Betriebsgebäude für Schiffsverkehr;          ;Other
31001_2441;Werft (Halle);          ;Other
31001_2442;Dock (Halle);          ;Other
31001_2443;Betriebsgebäude zur Schleuse;          ;Other
31001_2444;Bootshaus;          ;NoHeatingAndCooling
31001_2450;Betriebsgebäude zur Seilbahn;          ;Other
31001_2451;Spannwerk zur Drahtseilbahn;          ;NoHeatingAndCooling
31001_2460;Gebäude zum Parken;          ;NoHeatingAndCooling
31001_2461;Parkhaus;'Parkhaus' ist ein Gebäude, in dem Fahrzeuge auf mehreren Etagen abgestellt werden.;NoHeatingAndCooling
31001_2462;Parkdeck;          ;NoHeatingAndCooling
31001_2463;Garage;'Garage' ist ein Gebäude, in dem Fahrzeuge abgestellt werden.;NoHeatingAndCooling
31001_2464;Fahrzeughalle;'Fahrzeughalle' ist ein Gebäude, in dem Fahrzeuge abgestellt, inspiziert und repariert werden.;NoHeatingAndCooling
31001_2465;Tiefgarage;'Tiefgarage' ist ein Bauwerk unter der Erdoberfläche, in dem Fahrzeuge abgestellt werden;NoHeatingAndCooling
31001_2500;Gebäude zur Versorgung;          ;Other
31001_2501;Gebäude zur Energieversorgung;          ;Other
31001_2510;Gebäude zur Wasserversorgung;          ;Other
31001_2511;Wasserwerk;          ;Other
31001_2512;Pumpstation;'Pumpstation' ist ein Gebäude an einem Rohrleitungssystem, in dem eine oder mehrere Pumpen eingebaut sind.;NoHeatingAndCooling
31001_2513;Wasserbehälter;'Wasserbehälter' ist ein Gebäude, in dem Wasser gespeichert wird, das zum Ausgleich der Differenz zwischen Wasserzuführung und -abgabe dient.;NoHeatingAndCooling
31001_2520;Gebäude zur Elektrizitätsversorgung;          ;Other
31001_2521;Elektrizitätswerk;          ;Other
31001_2522;Umspannwerk;          ;NoHeatingAndCooling
31001_2523;Umformer;'Umformer' ist ein kleines Gebäude in dem ein Transformator zum Umformen von Gleichstrom in Wechselstrom oder von Gleichstrom in Gleichstrom anderer Spannung untergebracht ist.;NoHeatingAndCooling
31001_2527;Reaktorgebäude;'Reaktorgebäude' ist ein zentrales Gebäude eines Kernkraftwerkes, in dem aus radioaktivem Material mittels Kernspaltung Wärmeenergie erzeugt wird.;NoHeatingAndCooling
31001_2528;Turbinenhaus;'Turbinenhaus' ist ein Gebäude, in dem eine Kraftmaschine die Energie von strömendem Dampf, Gas, Wasser oder Wind unmittelbar in elektrische Energie umsetzt.;NoHeatingAndCooling
31001_2529;Kesselhaus;          ;NoHeatingAndCooling
31001_2540;Gebäude für Fernmeldewesen;          ;Other
31001_2560;Gebäude an unterirdischen Leitungen;          ;Other
31001_2570;Gebäude zur Gasversorgung;          ;Other
31001_2571;Gaswerk;          ;Other
31001_2580;Heizwerk;          ;Other
31001_2590;Gebäude zur Versorgungsanlage;          ;Other
31001_2591;Pumpwerk (nicht für Wasserversorgung);          ;NoHeatingAndCooling
31001_2600;Gebäude zur Entsorgung;          ;Other
31001_2610;Gebäude zur Abwasserbeseitigung;          ;Other
31001_2611;Gebäude der Kläranlage;          ;Other
31001_2612;Toilette;          ;Other
31001_2620;Gebäude zur Abfallbehandlung;          ;Other
31001_2621;Müllbunker;          ;NoHeatingAndCooling
31001_2622;Gebäude zur Müllverbrennung;'Gebäude zur Müllverbrennung' ist ein Gebäude in dem Abfälle mit chemisch/physikalischen und biologischen oder thermischen Verfahren oder Kombination dieser Verfahren behandelt werden. ;NoHeatingAndCooling
31001_2623;Gebäude der Abfalldeponie;          ;Other
31001_2700;Gebäude für Land- und Forstwirtschaft;'Gebäude für Land- und Forstwirtschaft' ist ein Gebäude, das land- und forstwirtschaftlichen Zwecken dient.;Other
31001_2720;Land- und forstwirtschaftliches Betriebsgebäude;          ;Other
31001_2721;Scheune;'Scheune' ist ein Gebäude zur Lagerung landwirtschaftlicher Güter (z. B. Stroh, Heu und Getreide).;NoHeatingAndCooling
31001_2723;Schuppen;          ;NoHeatingAndCooling
31001_2724;Stall;'Stall' ist ein Gebäude, in dem Tiere untergebracht sind.;NoHeatingAndCooling
31001_2726;Scheune und Stall;          ;NoHeatingAndCooling
31001_2727;Stall für Tiergroßhaltung;          ;NoHeatingAndCooling
31001_2728;Reithalle;          ;NoHeatingAndCooling
31001_2729;Wirtschaftsgebäude;          ;Other
31001_2732;Almhütte;'Almhütte' ist ein einfaches, hoch in den Bergen gelegenes Gebäude, das überwiegend weidewirtschaftlichen Zwecken dient und hauptsächlich im Sommer genutzt wird.;Other
31001_2735;Jagdhaus, Jagdhütte;          ;Residential
31001_2740;Treibhaus, Gewächshaus;'Treibhaus, Gewächshaus' ist ein Gebäude mit lichtdurchlässigem Dach und Wänden, das durch künstliche Klimagestaltung der Aufzucht oder Produktion von Pflanzen dient.;Other
31001_2741;Treibhaus;'Treibhaus' ist ein Gebäude mit lichtdurchlässigem Dach und Wänden, das durch künstliche Klimagestaltung der Aufzucht oder Produktion von Pflanzen dient.;Other
31001_2742;Gewächshaus, verschiebbar;          ;Other
31001_3000;Gebäude für öffentliche Zwecke;'Gebäude für öffentliche Zwecke' ist ein Gebäude das der Allgemeinheit dient.;Other
31001_3010;Verwaltungsgebäude;'Verwaltungsgebäude' ist ein Gebäude, in dem Verwaltungstätigkeiten durchgeführt werden.;Office
31001_3011;Parlament;'Parlament' ist ein Gebäude, in dem die gesetzgebende Volksvertretung (Bundestag, Landtag) tagt.;Office
31001_3012;Rathaus;'Rathaus' ist ein Gebäude, in dem der Vorstand einer Gemeinde seinen Amtssitz hat und/oder Teile der Verwaltung untergebracht sind.;Office
31001_3013;Post;'Post ist ein Gebäude, in dem die Post Dienstleistungen anbietet.;Office
31001_3014;Zollamt;'Zollamt' ist ein Gebäude für die Zollabfertigung an der Staatsgrenze (Grenzzollamt) oder im Inland (Binnenzollamt).;Office
31001_3015;Gericht;'Gericht' ist ein Gebäude, in dem Rechtsprechung und Rechtspflege stattfinden.;Office
31001_3016;Botschaft, Konsulat;'Botschaft, Konsulat' ist ein Gebäude, in dem eine ständige diplomatische Vertretung ersten Rangs eines fremden Staates oder einer  internationalen Organisation untergebracht ist.;Office
31001_3017;Kreisverwaltung;          ;Office
31001_3018;Bezirksregierung;          ;Office
31001_3019;Finanzamt;          ;Office
31001_3020;Gebäude für Bildung und Forschung;'Gebäude für Bildung und Forschung' ist ein Gebäude, in dem durch Ausbildung Wissen und Können auf verschiedenen Gebieten vermittelt werden bzw. wo neues Wissen durch wissenschaftliche Tätigkeit gewonnen wird.;Education
31001_3021;Allgemein bildende Schule;'Allgemein bildende Schule' ist ein Gebäude, in dem Kindern, Jugendlichen und Erwachsenen durch planmäßigen Unterricht Wissen vermittelt wird.;Education
31001_3022;Berufsbildende Schule;          ;Education
31001_3023;Hochschulgebäude (Fachhochschule, Universität);'Hochschulgebäude (Fachhochschule, Universität)' ist ein Gebäude, in dem Wissenschaften gelehrt und Forschung betrieben wird.;Education
31001_3024;Forschungsinstitut;'Forschungsinstitut' ist ein Gebäude, in dem Forschung betrieben wird.;Research
31001_3030;Gebäude für kulturelle Zwecke;'Gebäude für kulturelle Zwecke' ist ein Gebäude, in dem kulturelle Ereignisse stattfinden sowie ein Gebäude von kulturhistorischer Bedeutung.;Other
31001_3031;Schloss;'Schloss' ist ein Gebäude, das als repräsentativer Wohnsitz vor allem des Adels dient oder diente.;Other
31001_3032;Theater, Oper;'Theater, Oper' ist ein Gebäude, in dem Bühnenstücke aufgeführt werden.;Other
31001_3033;Konzertgebäude;'Konzertgebäude' ist ein Gebäude, in dem Musikaufführungen stattfinden.;Other
31001_3034;Museum;'Museum' ist ein Gebäude, in dem Sammlungen von (historischen) Objekten oder Reproduktionen davon ausgestellt werden. ;Other
31001_3035;Rundfunk, Fernsehen;'Rundfunk-, Fernsehen' ist ein Gebäude, in dem Radio- und Fernsehprogramme produziert und gesendet werden.;Other
31001_3036;Veranstaltungsgebäude;'Veranstaltungsgebäude' ist ein Gebäude, das hauptsächlich für kulturelle Zwecke wie z.B. Aufführungen, Ausstellungen, Konzerte genutzt wird;Other
31001_3037;Bibliothek, Bücherei;'Bibliothek, Bücherei' ist ein Gebäude, in dem Bücher und Zeitschriften gesammelt, aufbewahrt und ausgeliehen werden.;Other
31001_3038;Burg, Festung;'Burg, Festung' ist ein Gebäude innerhalb einer befestigten Anlage.;Other
31001_3040;Gebäude für religiöse Zwecke;          ;Other
31001_3041;Kirche;'Kirche' ist ein Gebäude, in dem sich Christen zu Gottesdiensten versammeln.;Other
31001_3042;Synagoge;          ;Other
31001_3043;Kapelle;'Kapelle' ist ein kleines Gebäude (Gebets-, Tauf-, Grabkapelle) für (christliche) gottesdienstliche Zwecke.;Other
31001_3044;Gemeindehaus;          ;Other
31001_3045;Gotteshaus;'Gotteshaus' ist ein Gebäude, in dem Gläubige einer nichtchristlichen Religionsgemeinschaft religiöse Handlungen vollziehen.;Other
31001_3046;Moschee;          ;Other
31001_3047;Tempel;          ;Other
31001_3048;Kloster;          ;Residential
31001_3050;Gebäude für Gesundheitswesen;'Gebäude für Gesundheitswesen' ist ein Gebäude, das der ambulanten oder stationären Behandlung und Pflege von Patienten dient.;Other
31001_3051;Krankenhaus;'Krankenhaus' ist ein Gebäude, in dem Kranke behandelt und/oder gepflegt werden.;Other
31001_3052;Heilanstalt, Pflegeanstalt, Pflegestation;          ;Other
31001_3053;Ärztehaus, Poliklinik;'Ärztehaus, Poliklinik' ist ein Gebäude, in dem mehrere Ärzte unterschiedlicher Fachrichtung Kranke ambulant behandeln und versorgen.;Other
31001_3060;Gebäude für soziale Zwecke;'Gebäude für soziale Zwecke' ist ein Gebäude, in dem ältere Menschen, Obdachlose, Jugendliche oder Kinder betreut werden.;Other
31001_3061;Jugendfreizeitheim;          ;Other
31001_3062;Freizeit-, Vereinsheim, Dorfgemeinschafts-, Bürgerhaus;          ;Other
31001_3063;Seniorenfreizeitstätte;          ;Other
31001_3064;Obdachlosenheim;          ;Other
31001_3065;Kinderkrippe, Kindergarten, Kindertagesstätte;'Kinderkrippe, Kindergarten, Kindertagesstätte' ist ein Gebäude, in dem Kinder im Vorschulalter betreut werden.;Other
31001_3066;Asylbewerberheim;          ;Other
31001_3070;Gebäude für Sicherheit und Ordnung;'Gebäude für Sicherheit und Ordnung' ist ein Gebäude, das für Personen und Gegenstände dient, die zur Verhütung oder Bekämpfung von Rechtsverletzungen und zum Katastrophenschutz eingesetzt werden, oder zur Unterbringung von Strafgefangenen.;Other
31001_3071;Polizei;'Polizei' ist ein Gebäude für Polizeibedienstete, die in einem bestimmten Gebiet für Sicherheit und Ordnung zuständig sind.;Other
31001_3072;Feuerwehr;'Feuerwehr' ist ein Gebäude der Feuerwehr, in dem Personen und Geräte zur Brandbekämpfung sowie zu anderen Hilfeleistungen untergebracht sind.;Other
31001_3073;Kaserne;'Kaserne' ist ein Gebäude zur ortsfesten Unterbringung von Angehörigen der Bundeswehr und der Polizei sowie deren Ausrüstung.;Other
31001_3074;Schutzbunker;'Schutzbunker' ist ein Gebäude zum Schutz der Zivilbevölkerung vor militärischen Angriffen. ;Other
31001_3075;Justizvollzugsanstalt;'Justizvollzugsanstalt' ist ein Gebäude zur Unterbringung von Untersuchungshäftlingen und Strafgefangenen.;Other
31001_3080;Friedhofsgebäude;'Friedhofsgebäude' ist ein Gebäude, das zur Aufrechterhaltung des Friedhofbetriebes dient (z.B. Verwaltung, Leichenhalle, Krematorium).;Other
31001_3081;Trauerhalle;          ;Other
31001_3082;Krematorium;          ;Other
31001_3090;Empfangsgebäude;'Empfangsgebäude' ist ein Gebäude mit Wartesaal, Fahrkarten- und Gepäckschalter zur Abwicklung des Straßen-, Schienen-, Seilbahn-, Luft- und Schiffsverkehrs.;Other
31001_3091;Bahnhofsgebäude;          ;Other
31001_3092;Flughafengebäude;          ;Other
31001_3094;Gebäude zum U-Bahnhof;          ;Other
31001_3095;Gebäude zum S-Bahnhof;          ;Other
31001_3097;Gebäude zum Busbahnhof;'Gebäude zum Busbahnhof' ist ein Gebäude auf dem Busbahnhof, das zur Abwicklung des Busverkehrs dient.;Other
31001_3098;Empfangsgebäude Schifffahrt;          ;Other
31001_3100;Gebäude für öffentliche Zwecke mit Wohnen;          ;Residential
31001_3200;Gebäude für Erholungszwecke;'Gebäude für Erholungszwecke' ist ein Gebäude zur Freizeitgestaltung mit dem Ziel der Erhaltung und Wiederherstellung der Leistungsfähigkeit des Menschen.;Other
31001_3210;Gebäude für Sportzwecke;'Gebäude für Sportzwecke' ist ein Gebäudes, in dem verschiedene Sportarten ausgeübt werden. ;Other
31001_3211;Sport-, Turnhalle;'Sport-, Turnhalle' ist ein Gebäude, das für den Turnunterricht und für sportliche Betätigungen in der Freizeit errichtet und dementsprechend ausgestattet ist.;Other
31001_3212;Gebäude zum Sportplatz;          ;Other
31001_3220;Badegebäude;          ;Other
31001_3221;Hallenbad;'Hallenbad' ist ein Gebäude mit Schwimmbecken und zugehörigen Einrichtungen (z. B. Umkleidekabinen). ;Other
31001_3222;Gebäude im Freibad;          ;Other
31001_3230;Gebäude im Stadion;          ;Other
31001_3240;Gebäude für Kurbetrieb;          ;Other
31001_3241;Badegebäude für medizinische Zwecke;          ;Other
31001_3242;Sanatorium;'Sanatorium' ist ein Gebäude mit zugehörigen Einrichtungen, das klimagünstig gelegen ist, unter fachärztlicher Leitung steht und zur Behandlung chronisch Kranker und Genesender bestimmt ist, für die kein Krankenhausaufenthalt in Frage kommt. ;Other
31001_3260;Gebäude im Zoo;          ;Other
31001_3261;Empfangsgebäude des Zoos;          ;Other
31001_3262;Aquarium, Terrarium, Voliere;'Aquarium, Terrarium, Voliere' ist ein Gebäude, in dem Fische und Wasserpflanzen, Reptilien und Amphibien oder Vögel gehalten und gezüchtet werden.;Other
31001_3263;Tierschauhaus;          ;Other
31001_3264;Stall im Zoo;          ;NoHeatingAndCooling
31001_3270;Gebäude im botanischen Garten;          ;Other
31001_3271;Empfangsgebäude des botanischen Gartens;          ;Other
31001_3272;Gewächshaus (Botanik);          ;Other
31001_3273;Pflanzenschauhaus;          ;Other
31001_3280;Gebäude für andere Erholungseinrichtung;          ;Other
31001_3281;Schutzhütte;'Schutzhütte' ist ein Gebäude zum Schutz vor Unwetter.;NoHeatingAndCooling
31001_3290;Touristisches Informationszentrum;'Touristisches Informationszentrum' ist eine Auskunftsstelle für Touristen.;Other
31001_9998;Nach Quellenlage nicht zu spezifizieren;'Nach Quellenlage nicht zu spezifizieren' bedeutet, dass keine Aussage über die Werteart gemacht werden kann.;Other
51001_1001;Wasserturm; ;NoHeatingAndCooling
51001_1002;Kirchturm; ;NoHeatingAndCooling
51001_1003;Aussichtsturm; ;NoHeatingAndCooling
51001_1004;Kontrollturm; ;NoHeatingAndCooling
51001_1005;Kühlturm; ;NoHeatingAndCooling
51001_1006;Leuchtturm; ;NoHeatingAndCooling
51001_1007;Feuerwachturm; ;NoHeatingAndCooling
51001_1008;Sende-,Funkturm; ;NoHeatingAndCooling
51001_1009;Stadt-,Torturm; ;NoHeatingAndCooling
51001_1010;Förderturm; ;NoHeatingAndCooling
51001_1011;Bohrturm; ;NoHeatingAndCooling
51001_1012;Schloss-, Burgturm; ;NoHeatingAndCooling
51002_1215;Biogasanlage; ;NoHeatingAndCooling
51002_1220;Windrad; ;NoHeatingAndCooling
51002_1230;Solarzellen; ;NoHeatingAndCooling
51002_1250;Mast; ;NoHeatingAndCooling
51002_1260;Funkmast; ;NoHeatingAndCooling
51002_1280;Radioteleskop; ;NoHeatingAndCooling
51002_1290;Schornstein; ;NoHeatingAndCooling
51002_1330;Kran; ;NoHeatingAndCooling
51002_1331;Drehkran; ;NoHeatingAndCooling
51002_1332;Portalkran; ;NoHeatingAndCooling
51002_1333;Laufkran; ;NoHeatingAndCooling
51002_1350;Hochofen; ;NoHeatingAndCooling
51002_1400;Umformer; ;NoHeatingAndCooling
51003_1201;Silo; ;NoHeatingAndCooling
51003_1205;Tank; ;NoHeatingAndCooling
51003_1206;Gasometer; ;NoHeatingAndCooling
51006_1430;Zuschauertribüne; ;NoHeatingAndCooling
51006_1431;Zuschauertribüne, überdacht; ;NoHeatingAndCooling
51006_1432;Zuschauertribüne, nicht überdacht; ;NoHeatingAndCooling
51006_1440;Stadion; ;NoHeatingAndCooling
51006_1470;Sprungschanze (Anlauf); ;NoHeatingAndCooling
51006_1490;Gradierwerk; ;NoHeatingAndCooling
51007_1210;Wachturm; ;NoHeatingAndCooling
51007_1400;Befestigung (Burgruine); ;NoHeatingAndCooling
51007_1500;Historische Mauer; ;NoHeatingAndCooling
51007_1510;Stadtmauer; ;NoHeatingAndCooling
51007_1520;Sonstige historische Mauer; ;NoHeatingAndCooling
51009_1610;Überdachung; ;NoHeatingAndCooling
51009_1611;Carport; ;NoHeatingAndCooling
51009_1750;Denkmal; ;NoHeatingAndCooling
